Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme,Komuna
GRAÐANSKA İNİCİJATİVA GORE,17,0.04,Gjakovë
LIDHJA DEMOKRATIKE E KOSOVËS,7295,18.15,Gjakovë
SRPSKA LISTA,9,0.02,Gjakovë
PARTIA LIBERALE EGJIPTIANE,99,0.22,Gjilan
PARTIA DEMOKRATIKE E KOSOVËS,8177,17.99,Gjilan
PARTIA E ASHKALINJËVE PËR INTEGRIM,17,0.04,Gjilan
STRANKA DEMOKRATSKE AKCIJE,15,0.03,Gjilan
PARTIJA KOSOVSKIH SRBA,9,0.02,Gjilan
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,77,0.17,Gjilan
POKRET ZA GORA,9,0.02,Gjilan
NOVA DEMOKRATSKA STRANKA,63,0.14,Gjilan
AAK-PSD KOALICIONI 100% KOSOVË,3238,7.13,Gjilan
SLOBODA,14,0.03,Gjilan
SAMOSTALNA LIBERALNA STRANKA,64,0.14,Gjilan
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1565,3.44,Gjilan
JEDINSTVENA GORANSKA PARTIJA,12,0.03,Gjilan
KOALICIJA VAKAT,52,0.11,Gjilan
FJALA,105,0.23,Gjilan
LËVIZJA VETËVENDOSJE!,17864,39.31,Gjilan
KOSOVA DEMOKRATIK TÜRK PARTISI,496,1.09,Gjilan
PARTIA ROME E BASHKUAR E KOSOVËS,26,0.06,Gjilan
PARTIA EUROATLANTIKE E KOSOVËS,86,0.19,Gjilan
KOSOVAKI NEVI ROMANI PARTIA,3,0.01,Gjilan
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,12,0.03,Gjilan
ESMIR KASI,4,0.01,Gjilan
GRAÐANSKA İNİCİJATİVA GORE,26,0.06,Gjilan
LIDHJA DEMOKRATIKE E KOSOVËS,12217,26.88,Gjilan
SRPSKA LISTA,1195,2.63,Gjilan
PARTIA LIBERALE EGJIPTIANE,302,1.35,Gllogoc
PARTIA DEMOKRATIKE E KOSOVËS,14555,65.29,Gllogoc
PARTIA E ASHKALINJËVE PËR INTEGRIM,18,0.08,Gllogoc
STRANKA DEMOKRATSKE AKCIJE,28,0.13,Gllogoc
PARTIJA KOSOVSKIH SRBA,23,0.1,Gllogoc
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,9,0.04,Gllogoc
POKRET ZA GORA,3,0.01,Gllogoc
NOVA DEMOKRATSKA STRANKA,3,0.01,Gllogoc
AAK-PSD KOALICIONI 100% KOSOVË,1582,7.1,Gllogoc
SLOBODA,5,0.02,Gllogoc
SAMOSTALNA LIBERALNA STRANKA,12,0.05,Gllogoc
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1733,7.77,Gllogoc
JEDINSTVENA GORANSKA PARTIJA,11,0.05,Gllogoc
KOALICIJA VAKAT,6,0.03,Gllogoc
FJALA,100,0.45,Gllogoc
LËVIZJA VETËVENDOSJE!,2472,11.09,Gllogoc
KOSOVA DEMOKRATIK TÜRK PARTISI,4,0.02,Gllogoc
PARTIA ROME E BASHKUAR E KOSOVËS,1,0.0,Gllogoc
PARTIA EUROATLANTIKE E KOSOVËS,95,0.43,Gllogoc
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Gllogoc
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,2,0.01,Gllogoc
ESMIR KASI,1,0.0,Gllogoc
GRAÐANSKA İNİCİJATİVA GORE,2,0.01,Gllogoc
LIDHJA DEMOKRATIKE E KOSOVËS,1324,5.94,Gllogoc
SRPSKA LISTA,2,0.01,Gllogoc
PARTIA LIBERALE EGJIPTIANE,1,0.01,Graçanicë
PARTIA DEMOKRATIKE E KOSOVËS,156,1.7,Graçanicë
PARTIA E ASHKALINJËVE PËR INTEGRIM,4,0.04,Graçanicë
STRANKA DEMOKRATSKE AKCIJE,3,0.03,Graçanicë
PARTIJA KOSOVSKIH SRBA,15,0.16,Graçanicë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,3,0.03,Graçanicë
POKRET ZA GORA,1,0.01,Graçanicë
NOVA DEMOKRATSKA STRANKA,6,0.07,Graçanicë
AAK-PSD KOALICIONI 100% KOSOVË,40,0.44,Graçanicë
SLOBODA,170,1.86,Graçanicë
SAMOSTALNA LIBERALNA STRANKA,379,4.14,Graçanicë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,40,0.44,Graçanicë
JEDINSTVENA GORANSKA PARTIJA,4,0.04,Graçanicë
KOALICIJA VAKAT,6,0.07,Graçanicë
FJALA,5,0.05,Graçanicë
LËVIZJA VETËVENDOSJE!,159,1.74,Graçanicë
KOSOVA DEMOKRATIK TÜRK PARTISI,1,0.01,Graçanicë
PARTIA ROME E BASHKUAR E KOSOVËS,12,0.13,Graçanicë
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Graçanicë
KOSOVAKI NEVI ROMANI PARTIA,8,0.09,Graçanicë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,4,0.04,Graçanicë
ESMIR KASI,0,0.0,Graçanicë
GRAÐANSKA İNİCİJATİVA GORE,2,0.02,Graçanicë
LIDHJA DEMOKRATIKE E KOSOVËS,256,2.79,Graçanicë
SRPSKA LISTA,7887,86.08,Graçanicë
PARTIA LIBERALE EGJIPTIANE,7,0.2,Hani i Elezit
PARTIA DEMOKRATIKE E KOSOVËS,1032,29.57,Hani i Elezit
PARTIA E ASHKALINJËVE PËR INTEGRIM,1,0.03,Hani i Elezit
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Hani i Elezit
PARTIJA KOSOVSKIH SRBA,0,0.0,Hani i Elezit
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,3,0.09,Hani i Elezit
POKRET ZA GORA,0,0.0,Hani i Elezit
NOVA DEMOKRATSKA STRANKA,1,0.03,Hani i Elezit
AAK-PSD KOALICIONI 100% KOSOVË,257,7.36,Hani i Elezit
SLOBODA,1,0.03,Hani i Elezit
SAMOSTALNA LIBERALNA STRANKA,2,0.06,Hani i Elezit
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,303,8.68,Hani i Elezit
JEDINSTVENA GORANSKA PARTIJA,0,0.0,Hani i Elezit
KOALICIJA VAKAT,6,0.17,Hani i Elezit
FJALA,11,0.32,Hani i Elezit
LËVIZJA VETËVENDOSJE!,1278,36.62,Hani i Elezit
KOSOVA DEMOKRATIK TÜRK PARTISI,2,0.06,Hani i Elezit
PARTIA ROME E BASHKUAR E KOSOVËS,2,0.06,Hani i Elezit
PARTIA EUROATLANTIKE E KOSOVËS,0,0.0,Hani i Elezit
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Hani i Elezit
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Hani i Elezit
ESMIR KASI,0,0.0,Hani i Elezit
GRAÐANSKA İNİCİJATİVA GORE,1,0.03,Hani i Elezit
LIDHJA DEMOKRATIKE E KOSOVËS,583,16.7,Hani i Elezit
SRPSKA LISTA,0,0.0,Hani i Elezit
PARTIA LIBERALE EGJIPTIANE,204,1.12,Istog
PARTIA DEMOKRATIKE E KOSOVËS,2324,12.77,Istog
PARTIA E ASHKALINJËVE PËR INTEGRIM,24,0.13,Istog
STRANKA DEMOKRATSKE AKCIJE,205,1.13,Istog
PARTIJA KOSOVSKIH SRBA,2,0.01,Istog
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,0.09,Istog
POKRET ZA GORA,1,0.01,Istog
NOVA DEMOKRATSKA STRANKA,155,0.85,Istog
AAK-PSD KOALICIONI 100% KOSOVË,3383,18.59,Istog
SLOBODA,7,0.04,Istog
SAMOSTALNA LIBERALNA STRANKA,7,0.04,Istog
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,331,1.82,Istog
JEDINSTVENA GORANSKA PARTIJA,2,0.01,Istog
KOALICIJA VAKAT,83,0.46,Istog
FJALA,51,0.28,Istog
LËVIZJA VETËVENDOSJE!,2344,12.88,Istog
KOSOVA DEMOKRATIK TÜRK PARTISI,2,0.01,Istog
PARTIA ROME E BASHKUAR E KOSOVËS,10,0.05,Istog
PARTIA EUROATLANTIKE E KOSOVËS,36,0.2,Istog
KOSOVAKI NEVI ROMANI PARTIA,2,0.01,Istog
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,360,1.98,Istog
ESMIR KASI,2,0.01,Istog
GRAÐANSKA İNİCİJATİVA GORE,20,0.11,Istog
LIDHJA DEMOKRATIKE E KOSOVËS,8350,45.88,Istog
SRPSKA LISTA,280,1.54,Istog
PARTIA LIBERALE EGJIPTIANE,7,0.35,Junik
