Subjekti Politik,Numri i votave,Përqindja e votave të vlefshme,Komuna
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1025,6.41,Skënderaj
JEDINSTVENA GORANSKA PARTIJA,1,0.01,Skënderaj
KOALICIJA VAKAT,1,0.01,Skënderaj
FJALA,120,0.75,Skënderaj
LËVIZJA VETËVENDOSJE!,1215,7.59,Skënderaj
KOSOVA DEMOKRATIK TÜRK PARTISI,5,0.03,Skënderaj
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Skënderaj
PARTIA EUROATLANTIKE E KOSOVËS,65,0.41,Skënderaj
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Skënderaj
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,2,0.01,Skënderaj
ESMIR KASI,0,0.0,Skënderaj
GRAÐANSKA İNİCİJATİVA GORE,0,0.0,Skënderaj
LIDHJA DEMOKRATIKE E KOSOVËS,707,4.42,Skënderaj
SRPSKA LISTA,126,0.79,Skënderaj
PARTIA LIBERALE EGJIPTIANE,50,0.2,Suharekë
PARTIA DEMOKRATIKE E KOSOVËS,4445,17.54,Suharekë
PARTIA E ASHKALINJËVE PËR INTEGRIM,96,0.38,Suharekë
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Suharekë
PARTIJA KOSOVSKIH SRBA,2,0.01,Suharekë
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,94,0.37,Suharekë
POKRET ZA GORA,3,0.01,Suharekë
NOVA DEMOKRATSKA STRANKA,8,0.03,Suharekë
AAK-PSD KOALICIONI 100% KOSOVË,5317,20.98,Suharekë
SLOBODA,0,0.0,Suharekë
SAMOSTALNA LIBERALNA STRANKA,7,0.03,Suharekë
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1728,6.82,Suharekë
JEDINSTVENA GORANSKA PARTIJA,5,0.02,Suharekë
KOALICIJA VAKAT,11,0.04,Suharekë
FJALA,54,0.21,Suharekë
LËVIZJA VETËVENDOSJE!,4280,16.88,Suharekë
KOSOVA DEMOKRATIK TÜRK PARTISI,6,0.02,Suharekë
PARTIA ROME E BASHKUAR E KOSOVËS,23,0.09,Suharekë
PARTIA EUROATLANTIKE E KOSOVËS,19,0.07,Suharekë
KOSOVAKI NEVI ROMANI PARTIA,9,0.04,Suharekë
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,5,0.02,Suharekë
ESMIR KASI,3,0.01,Suharekë
GRAÐANSKA İNİCİJATİVA GORE,19,0.07,Suharekë
LIDHJA DEMOKRATIKE E KOSOVËS,9141,36.06,Suharekë
SRPSKA LISTA,24,0.09,Suharekë
PARTIA LIBERALE EGJIPTIANE,30,0.15,Viti
PARTIA DEMOKRATIKE E KOSOVËS,3599,18.51,Viti
PARTIA E ASHKALINJËVE PËR INTEGRIM,17,0.09,Viti
STRANKA DEMOKRATSKE AKCIJE,11,0.06,Viti
PARTIJA KOSOVSKIH SRBA,2,0.01,Viti
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,0.08,Viti
POKRET ZA GORA,3,0.02,Viti
NOVA DEMOKRATSKA STRANKA,4,0.02,Viti
AAK-PSD KOALICIONI 100% KOSOVË,1550,7.97,Viti
SLOBODA,3,0.02,Viti
SAMOSTALNA LIBERALNA STRANKA,6,0.03,Viti
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,812,4.18,Viti
JEDINSTVENA GORANSKA PARTIJA,2,0.01,Viti
KOALICIJA VAKAT,11,0.06,Viti
FJALA,55,0.28,Viti
LËVIZJA VETËVENDOSJE!,6050,31.11,Viti
KOSOVA DEMOKRATIK TÜRK PARTISI,9,0.05,Viti
PARTIA ROME E BASHKUAR E KOSOVËS,2,0.01,Viti
PARTIA EUROATLANTIKE E KOSOVËS,20,0.1,Viti
KOSOVAKI NEVI ROMANI PARTIA,1,0.01,Viti
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,4,0.02,Viti
ESMIR KASI,2,0.01,Viti
GRAÐANSKA İNİCİJATİVA GORE,13,0.07,Viti
LIDHJA DEMOKRATIKE E KOSOVËS,6632,34.1,Viti
SRPSKA LISTA,592,3.04,Viti
PARTIA LIBERALE EGJIPTIANE,105,0.33,Vushtrri
PARTIA DEMOKRATIKE E KOSOVËS,9023,28.5,Vushtrri
PARTIA E ASHKALINJËVE PËR INTEGRIM,23,0.07,Vushtrri
STRANKA DEMOKRATSKE AKCIJE,8,0.03,Vushtrri
PARTIJA KOSOVSKIH SRBA,2,0.01,Vushtrri
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,16,0.05,Vushtrri
POKRET ZA GORA,0,0.0,Vushtrri
NOVA DEMOKRATSKA STRANKA,18,0.06,Vushtrri
AAK-PSD KOALICIONI 100% KOSOVË,1444,4.56,Vushtrri
SLOBODA,6,0.02,Vushtrri
SAMOSTALNA LIBERALNA STRANKA,26,0.08,Vushtrri
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,1545,4.88,Vushtrri
JEDINSTVENA GORANSKA PARTIJA,1,0.0,Vushtrri
KOALICIJA VAKAT,28,0.09,Vushtrri
FJALA,168,0.53,Vushtrri
LËVIZJA VETËVENDOSJE!,10469,33.06,Vushtrri
KOSOVA DEMOKRATIK TÜRK PARTISI,260,0.82,Vushtrri
PARTIA ROME E BASHKUAR E KOSOVËS,18,0.06,Vushtrri
PARTIA EUROATLANTIKE E KOSOVËS,32,0.1,Vushtrri
KOSOVAKI NEVI ROMANI PARTIA,3,0.01,Vushtrri
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,0.0,Vushtrri
ESMIR KASI,1,0.0,Vushtrri
GRAÐANSKA İNİCİJATİVA GORE,16,0.05,Vushtrri
LIDHJA DEMOKRATIKE E KOSOVËS,7443,23.51,Vushtrri
SRPSKA LISTA,1007,3.18,Vushtrri
PARTIA LIBERALE EGJIPTIANE,4,0.09,Zubin Potok
PARTIA DEMOKRATIKE E KOSOVËS,134,2.88,Zubin Potok
PARTIA E ASHKALINJËVE PËR INTEGRIM,0,0.0,Zubin Potok
STRANKA DEMOKRATSKE AKCIJE,0,0.0,Zubin Potok
PARTIJA KOSOVSKIH SRBA,17,0.37,Zubin Potok
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,0.0,Zubin Potok
POKRET ZA GORA,1,0.02,Zubin Potok
NOVA DEMOKRATSKA STRANKA,2,0.04,Zubin Potok
AAK-PSD KOALICIONI 100% KOSOVË,36,0.77,Zubin Potok
SLOBODA,12,0.26,Zubin Potok
SAMOSTALNA LIBERALNA STRANKA,16,0.34,Zubin Potok
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,14,0.3,Zubin Potok
JEDINSTVENA GORANSKA PARTIJA,1,0.02,Zubin Potok
KOALICIJA VAKAT,2,0.04,Zubin Potok
FJALA,1,0.02,Zubin Potok
LËVIZJA VETËVENDOSJE!,125,2.69,Zubin Potok
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,Zubin Potok
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Zubin Potok
PARTIA EUROATLANTIKE E KOSOVËS,1,0.02,Zubin Potok
KOSOVAKI NEVI ROMANI PARTIA,0,0.0,Zubin Potok
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,0.0,Zubin Potok
ESMIR KASI,1,0.02,Zubin Potok
GRAÐANSKA İNİCİJATİVA GORE,7,0.15,Zubin Potok
LIDHJA DEMOKRATIKE E KOSOVËS,128,2.75,Zubin Potok
SRPSKA LISTA,4151,89.21,Zubin Potok
PARTIA LIBERALE EGJIPTIANE,1,0.02,Zveçan
PARTIA DEMOKRATIKE E KOSOVËS,71,1.58,Zveçan
PARTIA E ASHKALINJËVE PËR INTEGRIM,2,0.04,Zveçan
STRANKA DEMOKRATSKE AKCIJE,3,0.07,Zveçan
PARTIJA KOSOVSKIH SRBA,39,0.87,Zveçan
PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,2,0.04,Zveçan
POKRET ZA GORA,3,0.07,Zveçan
NOVA DEMOKRATSKA STRANKA,2,0.04,Zveçan
AAK-PSD KOALICIONI 100% KOSOVË,8,0.18,Zveçan
SLOBODA,16,0.36,Zveçan
SAMOSTALNA LIBERALNA STRANKA,20,0.45,Zveçan
NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,4,0.09,Zveçan
JEDINSTVENA GORANSKA PARTIJA,1,0.02,Zveçan
KOALICIJA VAKAT,3,0.07,Zveçan
FJALA,0,0.0,Zveçan
LËVIZJA VETËVENDOSJE!,54,1.2,Zveçan
KOSOVA DEMOKRATIK TÜRK PARTISI,0,0.0,Zveçan
PARTIA ROME E BASHKUAR E KOSOVËS,0,0.0,Zveçan
PARTIA EUROATLANTIKE E KOSOVËS,1,0.02,Zveçan
KOSOVAKI NEVI ROMANI PARTIA,1,0.02,Zveçan
INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,0.02,Zveçan
ESMIR KASI,1,0.02,Zveçan
GRAÐANSKA İNİCİJATİVA GORE,6,0.13,Zveçan
LIDHJA DEMOKRATIKE E KOSOVËS,98,2.19,Zveçan
SRPSKA LISTA,4148,92.49,Zveçan
